EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases
bless_t1_wgsim_rl_100_cov_1.1_20.corrected.fastq.gz,run.bless.sh,20,249,31401,14415,12,3677,246,45457,50000,1259,3934193,18093,72,12135,2519,1026442,5574,5000287
bless_t1_wgsim_rl_100_cov_1.1_24.corrected.fastq.gz,run.bless.sh,24,261,31991,14159,10,3373,206,45930,50000,1232,3795670,17587,52,10287,1841,1167473,6127,5000269
bfc_t1_wgsim_rl_100_cov_2.1_24.corrected.fastq.gz,run.bfc.sh,24,1289,26555,16103,30,6023,0,0,50000,2988,4962967,21876,134,12035,0,0,0,5000000
coral_t1_wgsim_rl_100_cov_1.1_18.corrected.fastq.gz,run.coral.sh,18,1215,30073,18325,1,338,48,0,50000,1880,4974421,23116,2,571,65,0,0,5000055
coral_t1_wgsim_rl_100_cov_1.1_20.corrected.fastq.gz,run.coral.sh,20,1491,29956,17970,2,510,71,0,50000,2347,4974067,22648,3,910,91,0,0,5000066
coral_t1_wgsim_rl_100_cov_1.1_19.corrected.fastq.gz,run.coral.sh,19,1412,30003,18071,2,456,56,0,50000,2201,4974227,22794,3,758,79,0,0,5000062
coral_t1_wgsim_rl_100_cov_1.1_21.corrected.fastq.gz,run.coral.sh,21,1544,29920,17885,3,566,82,0,50000,2438,4973968,22554,6,1006,114,0,0,5000086
coral_t1_wgsim_rl_100_cov_1.1_22.corrected.fastq.gz,run.coral.sh,22,1552,29886,17857,2,622,81,1,50000,2473,4973835,22519,5,1139,117,0,1,5000089
coral_t1_wgsim_rl_100_cov_1.1_24.corrected.fastq.gz,run.coral.sh,24,1567,29802,17780,2,727,122,1,50000,2554,4973531,22436,7,1427,169,0,1,5000125
bfc_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.bfc.sh,18,983,739,3707,3,174,0,0,5606,2980,548938,8259,11,412,0,0,0,560600
bfc_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.bfc.sh,18,1708,1631,8514,4,241,0,0,12098,4969,1185116,19064,17,634,0,0,0,1209800
bfc_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.bfc.sh,18,2485,3096,18409,7,223,0,0,24220,6646,2372958,41901,15,480,0,0,0,2422000
bfc_TRA.rep.seq_sim_rl_100_cov_1_1_19.corrected.fastq.gz,run.bfc.sh,19,1360,747,3384,3,112,0,0,5606,3590,549044,7649,11,306,0,0,0,560600
bfc_TRA.rep.seq_sim_rl_100_cov_2_1_19.corrected.fastq.gz,run.bfc.sh,19,2296,1638,8039,2,123,0,0,12098,5888,1185457,18154,8,293,0,0,0,1209800
bfc_TRA.rep.seq_sim_rl_100_cov_1_1_20.corrected.fastq.gz,run.bfc.sh,20,1257,737,3399,5,208,0,0,5606,3728,548867,7509,13,483,0,0,0,560600
bfc_TRA.rep.seq_sim_rl_100_cov_4_1_19.corrected.fastq.gz,run.bfc.sh,19,2906,3098,18090,8,116,2,0,24220,7229,2373175,41319,14,261,4,0,0,2422002
bfc_TRA.rep.seq_sim_rl_100_cov_2_1_20.corrected.fastq.gz,run.bfc.sh,20,2262,1628,7995,4,209,0,0,12098,6254,1185244,17780,16,506,0,0,0,1209800
bfc_TRA.rep.seq_sim_rl_100_cov_8_1_18.corrected.fastq.gz,run.bfc.sh,18,2516,6422,39258,4,134,0,0,48334,6541,4736215,90318,7,319,0,0,0,4833400
bfc_TRA.rep.seq_sim_rl_100_cov_4_1_20.corrected.fastq.gz,run.bfc.sh,20,3287,3091,17585,10,245,2,0,24220,8554,2372900,39991,17,536,4,0,0,2422002
bfc_TRA.rep.seq_sim_rl_100_cov_8_1_19.corrected.fastq.gz,run.bfc.sh,19,2968,6428,38824,5,109,0,0,48334,7277,4736323,89581,8,211,0,0,0,4833400
bfc_TRA.rep.seq_sim_rl_100_cov_1_1_21.corrected.fastq.gz,run.bfc.sh,21,1580,736,3122,4,164,0,0,5606,4208,548896,7026,16,454,0,0,0,560600
bfc_TRA.rep.seq_sim_rl_100_cov_2_1_21.corrected.fastq.gz,run.bfc.sh,21,2747,1633,7551,6,161,0,0,12098,6982,1185384,17054,14,366,0,0,0,1209800
bfc_TRA.rep.seq_sim_rl_100_cov_1_1_22.corrected.fastq.gz,run.bfc.sh,22,1483,734,3146,5,238,0,0,5606,4465,548766,6769,16,584,0,0,0,560600
bfc_TRA.rep.seq_sim_rl_100_cov_8_1_20.corrected.fastq.gz,run.bfc.sh,20,3467,6423,38272,5,167,0,0,48334,8988,4736173,87870,8,361,0,0,0,4833400
bfc_TRA.rep.seq_sim_rl_100_cov_4_1_21.corrected.fastq.gz,run.bfc.sh,21,3642,3092,17327,11,145,3,0,24220,9003,2373098,39542,17,337,6,0,0,2422003
bfc_TRA.rep.seq_sim_rl_100_cov_2_1_22.corrected.fastq.gz,run.bfc.sh,22,2801,1623,7426,12,236,0,0,12098,7524,1185210,16502,24,540,0,0,0,1209800
bfc_TRA.rep.seq_sim_rl_100_cov_1_1_23.corrected.fastq.gz,run.bfc.sh,23,1853,736,2837,4,176,0,0,5606,4940,548903,6293,17,447,0,0,0,560600
bfc_TRA.rep.seq_sim_rl_100_cov_1_1_24.corrected.fastq.gz,run.bfc.sh,24,1792,730,2789,9,286,0,0,5606,5264,548670,5968,18,680,0,0,0,560600
bless_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.bless.sh,18,3393,1127,838,4,205,39,1313,5606,8340,506953,1666,29,1094,278,41125,1215,560700
bfc_TRA.rep.seq_sim_rl_100_cov_16_1_18.corrected.fastq.gz,run.bfc.sh,18,1082,12774,82671,3,80,0,0,96610,3120,9467405,190358,4,113,0,0,0,9661000
bfc_TRA.rep.seq_sim_rl_100_cov_8_1_21.corrected.fastq.gz,run.bfc.sh,21,3689,6431,38047,7,160,0,0,48334,9119,4736242,87736,11,292,0,0,0,4833400
bfc_TRA.rep.seq_sim_rl_100_cov_2_1_24.corrected.fastq.gz,run.bfc.sh,24,3081,1615,7059,9,334,0,0,12098,8403,1184982,15618,29,768,0,0,0,1209800
bfc_TRA.rep.seq_sim_rl_100_cov_4_1_22.corrected.fastq.gz,run.bfc.sh,22,4072,3081,16770,12,282,3,0,24220,10503,2372796,38032,27,639,6,0,0,2422003
bfc_TRA.rep.seq_sim_rl_100_cov_2_1_23.corrected.fastq.gz,run.bfc.sh,23,3194,1629,7071,9,195,0,0,12098,8073,1185290,15957,20,460,0,0,0,1209800
bless_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.bless.sh,18,8943,2086,741,3,268,57,1283,12098,21213,1142655,1300,41,1411,623,41225,1496,1209964
bfc_TRA.rep.seq_sim_rl_100_cov_16_1_19.corrected.fastq.gz,run.bfc.sh,19,1154,12772,82618,1,65,0,0,96610,3105,9467404,190376,1,114,0,0,0,9661000
bless_TRA.rep.seq_sim_rl_100_cov_1_1_19.corrected.fastq.gz,run.bless.sh,19,3260,1155,967,4,193,27,1428,5606,8048,503645,1903,26,1018,209,44575,1273,560697
bfc_TRA.rep.seq_sim_rl_100_cov_4_1_24.corrected.fastq.gz,run.bfc.sh,24,4689,3081,16085,11,351,3,0,24220,12053,2372738,36485,24,697,6,0,0,2422003
bless_TRA.rep.seq_sim_rl_100_cov_2_1_19.corrected.fastq.gz,run.bless.sh,19,8894,2122,759,3,272,48,1315,12098,21086,1141618,1382,34,1412,308,42554,1548,1209942
bfc_TRA.rep.seq_sim_rl_100_cov_4_1_23.corrected.fastq.gz,run.bfc.sh,23,4517,3088,16419,13,180,3,0,24220,10985,2373084,37558,19,351,6,0,0,2422003
bless_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.bless.sh,18,18720,3724,1186,7,505,78,1952,24220,44304,2310828,2078,72,2787,739,59321,2108,2422237
bless_TRA.rep.seq_sim_rl_100_cov_1_1_20.corrected.fastq.gz,run.bless.sh,20,3292,1163,930,3,190,28,1391,5606,8103,504487,1840,24,938,221,43807,1283,560703
bless_TRA.rep.seq_sim_rl_100_cov_4_1_19.corrected.fastq.gz,run.bless.sh,19,18357,3857,1394,4,518,90,2311,24220,43566,2297182,2528,74,2963,699,72892,2394,2422298
bless_TRA.rep.seq_sim_rl_100_cov_2_1_20.corrected.fastq.gz,run.bless.sh,20,8830,2151,784,3,279,51,1363,12098,20955,1139953,1475,33,1475,313,44174,1587,1209965
bfc_TRA.rep.seq_sim_rl_100_cov_16_1_20.corrected.fastq.gz,run.bfc.sh,20,1917,12766,81817,4,106,0,0,96610,5327,9467354,188149,6,164,0,0,0,9661000
bfc_TRA.rep.seq_sim_rl_100_cov_8_1_24.corrected.fastq.gz,run.bfc.sh,24,5417,6405,36161,15,336,0,0,48334,14195,4735893,82644,27,641,0,0,0,4833400
bfc_TRA.rep.seq_sim_rl_100_cov_8_1_22.corrected.fastq.gz,run.bfc.sh,22,4502,6409,37167,8,248,0,0,48334,11680,4736102,85176,10,432,0,0,0,4833400
bless_TRA.rep.seq_sim_rl_100_cov_4_1_20.corrected.fastq.gz,run.bless.sh,20,18578,3769,1269,5,511,88,2015,24220,44139,2307743,2282,67,2902,703,62379,2074,2422289
bfc_TRA.rep.seq_sim_rl_100_cov_8_1_23.corrected.fastq.gz,run.bfc.sh,23,4665,6422,37042,11,194,0,0,48334,11549,4736218,85304,13,316,0,0,0,4833400
bfc_TRA.rep.seq_sim_rl_100_cov_16_1_21.corrected.fastq.gz,run.bfc.sh,21,1690,12774,82057,6,83,0,0,96610,4548,9467390,188927,7,128,0,0,0,9661000
bless_TRA.rep.seq_sim_rl_100_cov_1_1_21.corrected.fastq.gz,run.bless.sh,21,3345,1176,869,3,181,32,1331,5606,8195,505990,1743,22,906,228,42352,1290,560726
bless_TRA.rep.seq_sim_rl_100_cov_8_1_18.corrected.fastq.gz,run.bless.sh,18,20953,7950,19040,4,339,48,9120,48334,53274,4443444,30512,43,1510,475,291256,13037,4833551
bless_TRA.rep.seq_sim_rl_100_cov_8_1_19.corrected.fastq.gz,run.bless.sh,19,21363,7962,18618,5,337,49,9109,48334,54364,4444309,29463,43,1410,411,290564,12996,4833560
bless_TRA.rep.seq_sim_rl_100_cov_1_1_22.corrected.fastq.gz,run.bless.sh,22,3313,1185,893,3,180,32,1357,5606,8137,505003,1809,28,930,287,43248,1276,560718
bless_TRA.rep.seq_sim_rl_100_cov_1_1_23.corrected.fastq.gz,run.bless.sh,23,3247,1214,943,3,172,27,1417,5606,7945,503502,1931,19,856,158,44943,1355,560709
bless_TRA.rep.seq_sim_rl_100_cov_1_1_24.corrected.fastq.gz,run.bless.sh,24,3154,1251,1011,4,158,28,1489,5606,7756,501230,2052,20,791,168,47274,1422,560713
bless_TRA.rep.seq_sim_rl_100_cov_2_1_21.corrected.fastq.gz,run.bless.sh,21,8952,2080,765,6,252,43,1150,12098,21258,1147169,1375,34,1263,237,37221,1383,1209940
bless_TRA.rep.seq_sim_rl_100_cov_2_1_22.corrected.fastq.gz,run.bless.sh,22,8747,2204,834,3,266,44,1413,12098,20792,1137535,1558,32,1346,271,46764,1668,1209966
bless_TRA.rep.seq_sim_rl_100_cov_2_1_23.corrected.fastq.gz,run.bless.sh,23,8676,2246,856,3,265,52,1513,12098,20630,1133980,1629,35,1404,314,50240,1756,1209988
bless_TRA.rep.seq_sim_rl_100_cov_4_1_21.corrected.fastq.gz,run.bless.sh,21,18463,3846,1328,5,491,87,2091,24220,43912,2304264,2411,68,2738,638,66097,2171,2422299
bless_TRA.rep.seq_sim_rl_100_cov_2_1_24.corrected.fastq.gz,run.bless.sh,24,8773,2200,833,3,244,45,1369,12098,20795,1138995,1607,33,1225,278,45418,1615,1209966
coral_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.coral.sh,18,3286,717,1210,5,123,265,6,5606,8433,549153,2807,9,174,450,7,1,561034
bless_TRA.rep.seq_sim_rl_100_cov_4_1_24.corrected.fastq.gz,run.bless.sh,24,18457,3852,1396,4,424,87,2013,24220,43732,2307773,2596,56,2370,637,62994,2178,2422336
bless_TRA.rep.seq_sim_rl_100_cov_4_1_23.corrected.fastq.gz,run.bless.sh,23,18085,4016,1554,2,473,90,2439,24220,42941,2292630,2954,63,2727,608,77815,2604,2422342
bless_TRA.rep.seq_sim_rl_100_cov_8_1_20.corrected.fastq.gz,run.bless.sh,20,21820,8022,18118,4,321,49,9230,48334,55455,4439398,28283,40,1339,375,295583,13088,4833561
bless_TRA.rep.seq_sim_rl_100_cov_4_1_22.corrected.fastq.gz,run.bless.sh,22,18425,3877,1345,5,483,85,2092,24220,43823,2304509,2453,63,2656,615,65950,2223,2422292
coral_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.coral.sh,18,7503,1497,2082,3,153,860,7,12098,19067,1185476,4974,6,236,908,6,3,1210676
bfc_TRA.rep.seq_sim_rl_100_cov_16_1_24.corrected.fastq.gz,run.bfc.sh,24,4010,12769,79640,6,185,0,0,96610,10773,9467205,182700,9,313,0,0,0,9661000
coral_TRA.rep.seq_sim_rl_100_cov_1_1_19.corrected.fastq.gz,run.coral.sh,19,3445,709,1005,4,165,278,5,5606,8864,549099,2376,9,227,305,5,1,560886
coral_TRA.rep.seq_sim_rl_100_cov_2_1_19.corrected.fastq.gz,run.coral.sh,19,8224,1584,1831,5,248,206,12,12098,19605,1185354,4433,8,327,229,11,4,1209971
coral_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.coral.sh,18,16256,2985,4043,8,502,426,23,24220,38697,2372352,9840,19,1014,478,18,6,2422424
bless_TRA.rep.seq_sim_rl_100_cov_8_1_22.corrected.fastq.gz,run.bless.sh,22,22815,8098,17037,7,326,51,9385,48334,57733,4436245,25878,52,1552,418,298478,13203,4833559
bfc_TRA.rep.seq_sim_rl_100_cov_16_1_22.corrected.fastq.gz,run.bfc.sh,22,2774,12766,80903,3,164,0,0,96610,7746,9467242,185727,9,276,0,0,0,9661000
bless_TRA.rep.seq_sim_rl_100_cov_8_1_24.corrected.fastq.gz,run.bless.sh,24,22821,7986,17155,5,312,55,9506,48334,57749,4431509,25823,45,1473,516,303231,13249,4833595
bless_TRA.rep.seq_sim_rl_100_cov_8_1_23.corrected.fastq.gz,run.bless.sh,23,22449,7934,17582,6,312,51,9346,48334,56945,4436187,26746,44,1493,443,298585,13131,4833574
bless_TRA.rep.seq_sim_rl_100_cov_8_1_21.corrected.fastq.gz,run.bless.sh,21,20692,7858,19409,5,316,54,8971,48334,53306,4442297,30529,47,1449,496,292466,12984,4833574
coral_TRA.rep.seq_sim_rl_100_cov_4_1_19.corrected.fastq.gz,run.coral.sh,19,15488,2772,3451,10,528,1971,26,24220,39992,2372298,8542,24,1073,2043,23,6,2424001
bless_TRA.rep.seq_sim_rl_100_cov_16_1_18.corrected.fastq.gz,run.bless.sh,18,41646,15450,38638,6,805,65,15829,96610,106501,8950323,63224,79,3165,508,513691,23678,9661169
coral_TRA.rep.seq_sim_rl_100_cov_1_1_20.corrected.fastq.gz,run.coral.sh,20,3440,694,967,3,223,279,7,5606,8957,549026,2284,7,303,459,6,2,561044
bfc_TRA.rep.seq_sim_rl_100_cov_16_1_23.corrected.fastq.gz,run.bfc.sh,23,2588,12769,81150,6,97,0,0,96610,6848,9467370,186626,8,148,0,0,0,9661000
coral_TRA.rep.seq_sim_rl_100_cov_8_1_18.corrected.fastq.gz,run.coral.sh,18,22190,6003,16491,25,881,2744,50,48334,69265,4734951,27537,46,1340,2855,35,18,4836047
coral_TRA.rep.seq_sim_rl_100_cov_2_1_20.corrected.fastq.gz,run.coral.sh,20,7845,1471,1675,8,333,766,13,12098,19928,1185214,4106,12,466,788,15,4,1210533
bless_TRA.rep.seq_sim_rl_100_cov_16_1_19.corrected.fastq.gz,run.bless.sh,19,41795,15339,38631,4,772,69,15649,96610,107358,8955070,62783,80,3046,533,509057,23261,9661188
coral_TRA.rep.seq_sim_rl_100_cov_1_1_21.corrected.fastq.gz,run.coral.sh,21,3506,697,915,2,211,275,6,5606,9076,549039,2166,6,290,458,5,2,561042
coral_TRA.rep.seq_sim_rl_100_cov_4_1_20.corrected.fastq.gz,run.coral.sh,20,17172,2960,2945,7,520,616,32,24220,41130,2372120,7398,25,1246,678,31,9,2422637
coral_TRA.rep.seq_sim_rl_100_cov_8_1_19.corrected.fastq.gz,run.coral.sh,19,24542,6131,15042,23,999,1597,49,48334,71838,4734647,24969,44,1591,1725,37,16,4834867
coral_TRA.rep.seq_sim_rl_100_cov_1_1_22.corrected.fastq.gz,run.coral.sh,22,3504,687,844,3,229,339,5,5606,9205,549002,2036,7,326,527,4,2,561109
coral_TRA.rep.seq_sim_rl_100_cov_2_1_21.corrected.fastq.gz,run.coral.sh,21,8417,1567,1574,4,332,204,12,12098,20138,1185195,3894,14,511,221,12,4,1209989
bless_TRA.rep.seq_sim_rl_100_cov_16_1_20.corrected.fastq.gz,run.bless.sh,20,42649,15316,37877,4,692,72,15621,96610,109461,8954016,60920,69,2741,519,510443,23032,9661201
coral_TRA.rep.seq_sim_rl_100_cov_2_1_22.corrected.fastq.gz,run.coral.sh,22,8415,1508,1326,4,363,482,12,12098,20691,1185051,3337,19,652,524,11,3,1210288
coral_TRA.rep.seq_sim_rl_100_cov_1_1_23.corrected.fastq.gz,run.coral.sh,23,3587,691,765,3,267,293,4,5606,9384,548980,1859,6,347,503,4,1,561084
bless_TRA.rep.seq_sim_rl_100_cov_16_1_22.corrected.fastq.gz,run.bless.sh,22,44252,15362,36269,2,648,77,15586,96610,113556,8954828,57132,65,2639,623,509681,22729,9661253
bless_TRA.rep.seq_sim_rl_100_cov_16_1_21.corrected.fastq.gz,run.bless.sh,21,44106,15426,36321,5,676,76,15813,96610,112952,8951889,57548,70,2687,599,512590,22912,9661247
coral_TRA.rep.seq_sim_rl_100_cov_4_1_21.corrected.fastq.gz,run.coral.sh,21,15992,2797,2811,10,579,2031,39,24220,41327,2370940,7163,66,2401,3658,42,8,2425605
coral_TRA.rep.seq_sim_rl_100_cov_4_1_22.corrected.fastq.gz,run.coral.sh,22,17590,2912,2211,13,737,757,38,24220,42585,2371828,5933,37,1519,882,37,9,2422830
bfc_TRA.rep.seq_sim_rl_100_cov_32_1_18.corrected.fastq.gz,run.bfc.sh,18,244,25513,167669,1,25,0,0,193452,680,18957446,387031,1,42,0,0,0,19345200
coral_TRA.rep.seq_sim_rl_100_cov_2_1_23.corrected.fastq.gz,run.coral.sh,23,8434,1497,1200,7,352,608,14,12098,20896,1185009,3135,16,696,719,12,3,1210486
bless_TRA.rep.seq_sim_rl_100_cov_16_1_23.corrected.fastq.gz,run.bless.sh,23,44759,15424,35690,3,645,89,15885,96610,114876,8948629,55638,68,2826,733,515597,22900,9661267
bfc_TRA.rep.seq_sim_rl_100_cov_32_1_19.corrected.fastq.gz,run.bfc.sh,19,297,25514,167616,3,22,0,0,193452,817,18957448,386892,3,40,0,0,0,19345200
bfc_TRA.rep.seq_sim_rl_100_cov_32_1_20.corrected.fastq.gz,run.bfc.sh,20,509,25513,167387,1,42,0,0,193452,1468,18957422,386243,1,66,0,0,0,19345200
coral_TRA.rep.seq_sim_rl_100_cov_16_1_18.corrected.fastq.gz,run.coral.sh,18,43816,12490,37110,34,1608,1552,63,96610,136141,9465088,57260,60,2254,1769,52,18,9662642
coral_TRA.rep.seq_sim_rl_100_cov_8_1_20.corrected.fastq.gz,run.coral.sh,20,25187,6121,14085,10,981,1950,59,48334,74216,4734677,22594,38,1669,2059,59,18,4835330
coral_TRA.rep.seq_sim_rl_100_cov_1_1_24.corrected.fastq.gz,run.coral.sh,24,3631,689,744,5,254,283,4,5606,9398,548832,1839,12,496,671,4,1,561253
coral_TRA.rep.seq_sim_rl_100_cov_4_1_23.corrected.fastq.gz,run.coral.sh,23,16824,2719,1999,15,702,1961,38,24220,43048,2372165,5483,25,1197,2177,43,9,2424147
bfc_TRA.rep.seq_sim_rl_100_cov_32_1_21.corrected.fastq.gz,run.bfc.sh,21,568,25514,167328,2,40,0,0,193452,1512,18957409,386198,2,79,0,0,0,19345200
coral_TRA.rep.seq_sim_rl_100_cov_2_1_24.corrected.fastq.gz,run.coral.sh,24,8728,1567,1188,6,400,209,14,12098,20869,1184921,3160,19,788,228,14,3,1210002
coral_TRA.rep.seq_sim_rl_100_cov_16_1_19.corrected.fastq.gz,run.coral.sh,19,44367,12496,36516,23,1523,1685,57,96610,137171,9464847,56228,61,2556,1884,39,19,9662805
fiona_TRA.rep.seq_sim_rl_100_cov_1_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,758,4848,0,0,0,0,5606,0,549350,11250,0,0,0,0,0,560600
bless_TRA.rep.seq_sim_rl_100_cov_16_1_24.corrected.fastq.gz,run.bless.sh,24,44168,15185,36518,2,651,86,15598,96610,113893,8957983,56937,72,2766,636,506394,22580,9661261
coral_TRA.rep.seq_sim_rl_100_cov_4_1_24.corrected.fastq.gz,run.coral.sh,24,16781,2717,1965,12,725,2020,35,24220,43033,2372138,5498,24,1226,2233,30,9,2424191
coral_TRA.rep.seq_sim_rl_100_cov_8_1_23.corrected.fastq.gz,run.coral.sh,23,26639,6047,12284,18,1141,2205,55,48334,76973,4734542,19830,46,1813,2357,44,16,4835621
coral_TRA.rep.seq_sim_rl_100_cov_8_1_21.corrected.fastq.gz,run.coral.sh,21,25992,6131,13426,10,911,1864,77,48334,75050,4734815,21759,36,1479,2028,70,21,4835258
bfc_TRA.rep.seq_sim_rl_100_cov_32_1_23.corrected.fastq.gz,run.bfc.sh,23,859,25510,167023,4,56,0,0,193452,2262,18957384,385445,5,104,0,0,0,19345200
fiona_TRA.rep.seq_sim_rl_100_cov_2_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,1645,10453,0,0,0,0,12098,0,1185750,24050,0,0,0,0,0,1209800
bfc_TRA.rep.seq_sim_rl_100_cov_32_1_24.corrected.fastq.gz,run.bfc.sh,24,1241,25513,166623,2,73,0,0,193452,3582,18957383,384127,3,105,0,0,0,19345200
fiona_TRA.rep.seq_sim_rl_100_cov_4_1_405000.corrected.fastq.gz,run.fiona.sh,18,7938,3096,12352,417,339,78,35,24220,30191,2372660,17893,473,672,125,33,5,2422052
coral_TRA.rep.seq_sim_rl_100_cov_8_1_22.corrected.fastq.gz,run.coral.sh,22,26728,6074,12470,29,1177,1856,50,48334,76819,4734400,19974,56,1821,1968,40,16,4835094
coral_TRA.rep.seq_sim_rl_100_cov_16_1_21.corrected.fastq.gz,run.coral.sh,21,47872,12301,31987,22,1637,2791,72,96610,146780,9464665,46620,61,2703,3031,59,18,9663937
bless_TRA.rep.seq_sim_rl_100_cov_32_1_19.corrected.fastq.gz,run.bless.sh,19,83759,30269,77639,16,1634,135,29409,193452,216041,17991181,127318,186,6419,1488,958771,44167,19345571
coral_TRA.rep.seq_sim_rl_100_cov_16_1_22.corrected.fastq.gz,run.coral.sh,22,49265,12418,31318,25,1635,1949,61,96610,148020,9464694,45376,64,2629,2133,43,19,9662978
coral_TRA.rep.seq_sim_rl_100_cov_16_1_20.corrected.fastq.gz,run.coral.sh,20,46713,12444,33982,23,1774,1674,83,96610,142146,9464644,51256,60,2702,1849,71,17,9662745
coral_TRA.rep.seq_sim_rl_100_cov_8_1_24.corrected.fastq.gz,run.coral.sh,24,27408,6115,11838,25,1384,1564,49,48334,77352,4734352,19438,58,2024,1678,44,17,4834963
fiona_TRA.rep.seq_sim_rl_100_cov_1_1_405000.corrected.fastq.gz,run.fiona.sh,19,0,758,4848,0,0,0,0,5606,0,549350,11250,0,0,0,0,0,560600
bless_TRA.rep.seq_sim_rl_100_cov_32_1_20.corrected.fastq.gz,run.bless.sh,20,82351,30109,79353,21,1482,136,29617,193452,213769,17975370,129053,171,5822,1300,975367,44719,19345571
fiona_TRA.rep.seq_sim_rl_100_cov_2_1_405000.corrected.fastq.gz,run.fiona.sh,19,0,1645,10453,0,0,0,0,12098,0,1185750,24050,0,0,0,0,0,1209800
bless_TRA.rep.seq_sim_rl_100_cov_32_1_22.corrected.fastq.gz,run.bless.sh,22,84395,30014,77434,16,1448,145,29184,193452,219899,17983444,123704,179,6150,1361,966926,43930,19345593
fiona_TRA.rep.seq_sim_rl_100_cov_1_1_405000.corrected.fastq.gz,run.fiona.sh,20,0,758,4848,0,0,0,0,5606,0,549350,11250,0,0,0,0,0,560600
fiona_TRA.rep.seq_sim_rl_100_cov_2_1_405000.corrected.fastq.gz,run.fiona.sh,20,0,1645,10453,0,0,0,0,12098,0,1185750,24050,0,0,0,0,0,1209800
fiona_TRA.rep.seq_sim_rl_100_cov_1_1_405000.corrected.fastq.gz,run.fiona.sh,21,0,758,4848,0,0,0,0,5606,0,549350,11250,0,0,0,0,0,560600
coral_TRA.rep.seq_sim_rl_100_cov_16_1_24.corrected.fastq.gz,run.coral.sh,24,48529,12181,30613,32,2193,3062,83,96610,148719,9463424,44662,79,3920,4530,72,19,9665425
fiona_TRA.rep.seq_sim_rl_100_cov_4_1_405000.corrected.fastq.gz,run.fiona.sh,19,7938,3096,12352,417,339,78,35,24220,30191,2372660,17893,473,672,125,33,5,2422052
fiona_TRA.rep.seq_sim_rl_100_cov_1_1_405000.corrected.fastq.gz,run.fiona.sh,22,0,758,4848,0,0,0,0,5606,0,549350,11250,0,0,0,0,0,560600
