EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases
bfc_rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.bfc.sh,18,167,942,5979,1,91,0,0,7180,718,703426,13612,7,237,0,0,0,718000
bless_rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.bless.sh,18,4356,1336,741,8,693,46,1436,7180,11175,650063,1359,83,2825,537,50369,1720,718131
fiona_rep.seq_sim_rl_100_cov_1_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,946,6234,0,0,0,0,7180,0,703663,14337,0,0,0,0,0,718000
lighter_rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.lighter.sh,18,0,946,6234,0,0,0,0,7180,0,703663,14337,0,0,0,0,0,718000
musket_rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.musket.sh,18,4524,808,517,50,1281,0,0,7180,13039,700280,1187,111,3383,0,0,0,718000
racer_rep.seq_sim_rl_100_cov_1_1_405000.corrected.fastq.gz,run.racer.sh,18,4838,912,740,7,593,90,24,7180,12836,699864,1418,78,3283,883,162,5,718529
reckoner_rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.reckoner.sh,18,3685,930,2194,47,268,56,15,7180,9455,701554,4791,89,1803,527,94,2,718315
sga_rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.sga.sh,18,2166,936,3761,14,298,5,1,7180,7197,703002,7106,34,650,20,2,0,718011
bfc_TRA.rep.seq_sim_rl_75_cov_64_1_18.corrected.fastq.gz,run.bfc.sh,18,0,1682,5613,0,0,0,0,7295,2,536291,10832,0,0,0,0,0,547125
racer_TRA.rep.seq_sim_rl_50_cov_4_1_405000.corrected.fastq.gz,run.racer.sh,18,2541,2660,2032,1,120,15,8,7369,4945,360255,2557,18,599,111,39,3,368527
pollux_TRA.rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.pollux.sh,18,4830,1626,1009,25,322,264,12,8076,10354,592337,1825,64,840,369,19,1,605809
bfc_TRA.rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.bfc.sh,18,2165,1680,3945,4,298,0,0,8092,5085,593879,7164,11,761,0,0,0,606900
bless_TRA.rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.bless.sh,18,4280,2391,1034,2,308,77,2066,8092,8828,542764,1821,45,1941,671,49376,1566,607012
coral_TRA.rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.coral.sh,18,5019,1667,1074,10,201,121,4,8092,9960,594367,2288,11,248,131,3,1,607009
fiona_TRA.rep.seq_sim_rl_75_cov_1_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,1724,6368,0,0,0,0,8092,0,594640,12260,0,0,0,0,0,606900
lighter_TRA.rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.lighter.sh,18,0,1724,6368,0,0,0,0,8092,0,594640,12260,0,0,0,0,0,606900
musket_TRA.rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.musket.sh,18,4746,1599,1169,11,567,0,0,8092,10048,593288,2181,31,1352,0,0,0,606900
racer_TRA.rep.seq_sim_rl_75_cov_1_1_405000.corrected.fastq.gz,run.racer.sh,18,5440,1674,656,3,248,71,25,8092,11280,592277,930,47,1916,757,145,3,607355
reckoner_TRA.rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.reckoner.sh,18,4765,1694,1421,15,145,52,15,8092,9705,593198,2499,51,1198,424,74,5,607154
sga_TRA.rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.sga.sh,18,3910,1710,2362,2,104,4,0,8092,8394,594289,3854,12,342,18,0,0,606909
reckoner_rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.reckoner.sh,18,4103,2974,1155,1,143,35,16,8411,6561,411108,1811,22,903,230,62,1,420698
bfc_rep.seq_sim_rl_100_cov_8_1_18.corrected.fastq.gz,run.bfc.sh,18,299,1141,7477,2,18,0,0,8937,787,875770,17096,2,45,0,0,0,893700
pollux_rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.pollux.sh,18,3577,1636,2000,53,2154,944,19,10364,10517,754971,4785,283,5510,1544,35,1,777646
bless_rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.bless.sh,18,5969,2629,686,15,1005,74,1837,10378,12479,712212,1327,113,4087,736,45841,1688,778483
coral_rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.coral.sh,18,5249,2154,2624,5,227,119,11,10378,10072,762349,5525,8,385,120,8,3,778470
fiona_rep.seq_sim_rl_75_cov_1_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,2228,8150,0,0,0,0,10378,0,762743,15607,0,0,0,0,0,778350
lighter_rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.lighter.sh,18,0,2228,8150,0,0,0,0,10378,0,762743,15607,0,0,0,0,0,778350
musket_rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.musket.sh,18,5714,1795,796,63,2009,1,1,10378,13546,757461,1894,167,5281,1,1,0,778351
racer_rep.seq_sim_rl_75_cov_1_1_405000.corrected.fastq.gz,run.racer.sh,18,6108,2150,1054,7,922,137,41,10378,13344,757011,2139,116,5039,1176,231,8,779064
reckoner_rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.reckoner.sh,18,5189,2184,2480,66,396,63,29,10378,10682,760232,4781,140,2197,522,120,4,778678
sga_rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.sga.sh,18,3265,2210,4517,11,369,6,1,10378,7963,761932,7603,41,802,18,2,0,778361
racer_TRA.rep.seq_sim_rl_50_cov_1_1_405000.corrected.fastq,run.racer.sh,18,5691,3646,745,1,271,34,17,10388,9222,507477,1122,32,1390,237,79,1,519560
coral_rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.coral.sh,18,4953,4181,2383,4,146,104,9,11771,7459,576624,4269,5,181,105,9,0,588652
pollux_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.pollux.sh,18,5962,4185,1317,17,309,254,9,12044,9520,589190,2373,55,797,377,16,0,602328
pollux_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.pollux.sh,18,8165,1542,1435,20,527,405,7,12094,21093,1183504,2853,103,1317,657,11,1,1209539
lighter_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.lighter.sh,18,0,4377,7721,0,0,0,0,12098,0,592834,12066,0,0,0,0,0,604900
musket_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.musket.sh,18,5538,4164,1806,6,584,0,0,12098,8942,591594,3096,28,1240,0,0,0,604900
bfc_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.bfc.sh,18,1708,1631,8514,4,241,0,0,12098,4969,1185116,19064,17,634,0,0,0,1209800
bless_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.bless.sh,18,8943,2086,741,3,268,57,1283,12098,21213,1142655,1300,41,1411,623,41225,1496,1209964
sga_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.sga.sh,18,5185,4346,2437,3,122,5,3,12098,8425,592408,3627,14,414,16,8,0,604912
coral_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.coral.sh,18,7503,1497,2082,3,153,860,7,12098,19067,1185476,4974,6,236,908,6,3,1210676
fiona_TRA.rep.seq_sim_rl_100_cov_2_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,1645,10453,0,0,0,0,12098,0,1185750,24050,0,0,0,0,0,1209800
lighter_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.lighter.sh,18,0,1645,10453,0,0,0,0,12098,0,1185750,24050,0,0,0,0,0,1209800
musket_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.musket.sh,18,9288,1569,596,18,623,4,0,12098,22867,1184310,1140,43,1428,24,0,0,1209812
racer_TRA.rep.seq_sim_rl_100_cov_2_1_405000.corrected.fastq.gz,run.racer.sh,18,7019,1626,3095,1,266,91,33,12098,19635,1182763,4358,56,2436,922,192,1,1210363
reckoner_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.reckoner.sh,18,6080,1631,4192,31,127,37,18,12098,15977,1184580,8015,57,928,403,87,1,1210048
sga_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.sga.sh,18,4371,1640,5986,4,95,2,0,12098,12575,1185468,11453,22,276,15,0,0,1209809
bless_rep.seq_sim_rl_75_cov_8_1_18.corrected.fastq.gz,run.bless.sh,18,6031,3531,4421,0,99,9,1814,14091,12675,995275,6264,10,587,122,39876,2028,1056837
pollux_rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.pollux.sh,18,4841,3941,2016,84,2371,1033,26,14286,9867,693799,4211,261,5019,1542,40,2,714741
pollux_rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.pollux.sh,18,4144,1352,4005,70,3390,1395,25,14356,17923,1395813,10414,434,8938,2552,34,1,1436109
bfc_rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.bfc.sh,18,241,1897,12153,1,68,0,0,14360,755,1407036,28018,5,186,0,0,0,1436000
bless_rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.bless.sh,18,9198,2552,1815,9,715,71,2562,14360,22298,1319093,2862,74,2987,665,84742,3544,1436265
coral_rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.coral.sh,18,7048,1851,5078,5,252,126,5,14360,16537,1406859,12233,7,357,130,6,1,1436130
fiona_rep.seq_sim_rl_100_cov_2_1_405000.corrected.fastq.gz,run.fiona.sh,18,1734,1895,10204,77,419,31,2,14360,10030,1406724,18649,98,482,34,1,1,1436019
lighter_rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.lighter.sh,18,0,5083,9277,0,0,0,0,14360,0,703512,14488,0,0,0,0,0,718000
lighter_rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.lighter.sh,18,0,1900,12460,0,0,0,0,14360,0,1407222,28778,0,0,0,0,0,1436000
musket_rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.musket.sh,18,9863,1769,1303,126,1299,0,0,14360,26471,1404109,2103,204,3113,0,0,0,1436000
racer_rep.seq_sim_rl_100_cov_2_1_405000.corrected.fastq.gz,run.racer.sh,18,7591,1858,3031,19,1655,206,72,14360,22851,1396336,5705,211,9512,2343,438,11,1437407
musket_rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.musket.sh,18,7139,4602,1048,75,1496,0,0,14360,12266,700395,2083,139,3117,0,0,0,718000
reckoner_rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.reckoner.sh,18,5354,1882,6313,77,672,62,22,14360,14911,1403150,13683,181,3651,730,121,3,1436430
sga_rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.sga.sh,18,2381,1889,9431,35,617,7,1,14360,10077,1406008,18629,72,1206,16,1,0,1436009
sga_rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.sga.sh,18,4569,5032,4252,14,485,8,2,14360,8064,702460,6383,41,1039,22,5,0,718014
bfc_TRA.rep.seq_sim_rl_100_cov_16_1_18.corrected.fastq.gz,run.bfc.sh,18,46,2018,12886,1,1,0,0,14952,131,1465522,29545,1,1,0,0,0,1495200
pollux_TRA.rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.pollux.sh,18,9992,3260,1584,38,601,477,8,15952,20938,1170257,2927,119,1682,728,9,0,1196660
bfc_TRA.rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.bfc.sh,18,3284,3395,8895,7,388,1,0,15970,7290,1172722,16716,26,995,2,0,0,1197751
bless_TRA.rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.bless.sh,18,9733,4428,1270,7,445,87,2673,15970,19462,1106921,2270,76,2534,753,63684,2224,1197924
coral_TRA.rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.coral.sh,18,10090,3231,1672,10,274,693,17,15970,20281,1173292,3729,16,381,712,14,6,1198431
fiona_TRA.rep.seq_sim_rl_75_cov_2_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,3458,12512,0,0,0,0,15970,0,1173718,24032,0,0,0,0,0,1197750
lighter_TRA.rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.lighter.sh,18,0,3458,12512,0,0,0,0,15970,0,1173718,24032,0,0,0,0,0,1197750
musket_TRA.rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.musket.sh,18,10500,3297,1313,18,842,0,0,15970,21556,1171660,2417,59,2058,0,0,0,1197750
racer_TRA.rep.seq_sim_rl_75_cov_2_1_405000.corrected.fastq.gz,run.racer.sh,18,8522,3421,3662,4,294,67,22,15970,19086,1171287,4906,38,2027,696,126,2,1198168
reckoner_TRA.rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.reckoner.sh,18,7807,3438,4515,33,141,36,11,15970,16239,1172534,7736,57,987,351,49,0,1197953
sga_TRA.rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.sga.sh,18,5613,3444,6764,3,144,2,0,15970,12569,1173256,11453,10,455,14,0,0,1197757
coral_TRA.rep.seq_sim_rl_100_cov_16_1_18.corrected.fastq,run.coral.sh,18,8691,2083,5194,3,98,226,13,16295,25037,1596714,7543,5,166,254,7,7,1629733
pollux_rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.pollux.sh,18,5978,2855,3634,85,3897,1501,36,17950,18269,1307229,8171,474,10279,2434,46,3,1346905
bfc_rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.bfc.sh,18,694,3903,13122,9,232,0,0,17960,2012,1319522,24908,19,539,0,0,0,1347000
bless_rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.bless.sh,18,11061,4479,1482,14,849,75,2333,17960,22019,1261032,2359,99,3526,662,54938,2462,1347097
coral_rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.coral.sh,18,9389,3809,4236,8,241,277,15,17960,18032,1319675,8893,11,368,281,12,3,1347275
fiona_rep.seq_sim_rl_75_cov_2_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,3919,14041,0,0,0,0,17960,0,1320061,26939,0,0,0,0,0,1347000
lighter_rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.lighter.sh,18,0,3919,14041,0,0,0,0,17960,0,1320061,26939,0,0,0,0,0,1347000
musket_rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.musket.sh,18,11432,3665,1477,125,1261,0,0,17960,24542,1317104,2216,181,2957,0,0,0,1347000
racer_rep.seq_sim_rl_75_cov_2_1_405000.corrected.fastq.gz,run.racer.sh,18,8802,3856,3350,15,1778,159,44,17960,20769,1311482,5993,171,7855,1254,212,6,1347742
reckoner_rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.reckoner.sh,18,7002,3884,6171,97,729,77,26,17960,15033,1316228,11720,182,3487,584,117,4,1347355
sga_rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.sga.sh,18,3599,3908,9719,21,706,7,1,17960,10162,1318653,16710,67,1400,15,2,0,1347009
sga_TRA.rep.seq_sim_rl_100_cov_16_1_18.corrected.fastq.gz,run.sga.sh,18,692,2693,15643,7,129,4,2,19168,5377,1878143,32816,22,427,20,10,0,1916815
pollux_TRA.rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.pollux.sh,18,12269,8468,2264,39,574,562,13,24176,19900,1182614,4021,109,1552,859,15,1,1209071
pollux_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.pollux.sh,18,16604,2895,2730,59,1153,775,25,24216,42880,2369196,5458,210,2706,1342,31,4,2421827
bless_TRA.rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.bless.sh,18,12713,9422,1554,2,484,45,2584,24220,20191,1151603,2398,36,2211,161,33011,1495,1211106
bfc_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.bfc.sh,18,2485,3096,18409,7,223,0,0,24220,6646,2372958,41901,15,480,0,0,0,2422000
bless_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.bless.sh,18,18720,3724,1186,7,505,78,1952,24220,44304,2310828,2078,72,2787,739,59321,2108,2422237
coral_TRA.rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.coral.sh,18,7701,8686,7367,3,274,189,7,24220,11516,1186541,12595,6,335,199,4,3,1211199
coral_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.coral.sh,18,16256,2985,4043,8,502,426,23,24220,38697,2372352,9840,19,1014,478,18,6,2422424
fiona_TRA.rep.seq_sim_rl_50_cov_2_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,8839,15381,0,0,0,0,24220,0,1186880,24120,0,0,0,0,0,1211000
fiona_TRA.rep.seq_sim_rl_100_cov_4_1_405000.corrected.fastq.gz,run.fiona.sh,18,7938,3096,12352,417,339,78,35,24220,30191,2372660,17893,473,672,125,33,5,2422052
lighter_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.lighter.sh,18,0,3105,21115,0,0,0,0,24220,0,2373438,48562,0,0,0,0,0,2422000
lighter_TRA.rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.lighter.sh,18,0,8839,15381,0,0,0,0,24220,0,1186880,24120,0,0,0,0,0,1211000
musket_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.musket.sh,18,19131,2985,1082,38,984,0,0,24220,46509,2371194,1966,87,2244,0,0,0,2422000
musket_TRA.rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.musket.sh,18,13385,8596,1544,24,671,0,0,24220,21122,1185493,2957,41,1387,0,0,0,1211000
racer_TRA.rep.seq_sim_rl_100_cov_4_1_405000.corrected.fastq.gz,run.racer.sh,18,10389,3087,9911,4,710,119,34,24220,32745,2368666,15709,105,4064,1266,170,3,2422728
racer_TRA.rep.seq_sim_rl_50_cov_2_1_405000.corrected.fastq.gz,run.racer.sh,18,10832,8751,4199,5,379,54,16,24220,18752,1184700,5318,50,1958,384,68,0,1211230
reckoner_TRA.rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.reckoner.sh,18,10272,8775,4886,31,203,53,21,24220,16570,1185442,7480,65,1198,409,79,5,1211248
sga_TRA.rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.sga.sh,18,7919,8809,7311,5,169,7,3,24220,13493,1186372,10609,18,491,29,6,0,1211018
reckoner_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.reckoner.sh,18,8709,3091,12084,40,240,56,23,24220,25265,2371541,23208,86,1623,453,102,3,2422281
sga_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.sga.sh,18,5652,3100,15213,8,246,1,1,24220,18597,2372817,29925,39,619,3,2,1,2422003
bless_TRA.rep.seq_sim_rl_100_cov_64_1_18.corrected.fastq.gz,run.bless.sh,18,6155,3978,14086,3,169,16,4738,24407,17754,2234120,23644,17,649,124,157198,7231,2440737
racer_rep.seq_sim_rl_50_cov_16_1_405000.corrected.fastq.gz,run.racer.sh,18,7575,9488,8299,7,739,28,15,26136,15465,1278173,10571,67,2428,153,43,0,1306900
reckoner_TRA.rep.seq_sim_rl_100_cov_16_1_18.corrected.fastq.gz,run.reckoner.sh,18,3266,3826,20332,44,283,83,28,27834,15918,2724945,39568,90,2287,957,231,3,2783999
bfc_TRA.rep.seq_sim_rl_75_cov_8_1_18.corrected.fastq.gz,run.bfc.sh,18,2590,6104,19110,4,149,0,0,27957,5552,2054709,36239,8,267,0,0,0,2096775
pollux_rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.pollux.sh,18,9660,8000,3657,132,4684,2133,49,28266,19992,1372131,7761,518,10669,3064,71,3,1414209
pollux_rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.pollux.sh,18,8738,2621,8050,154,6535,2226,40,28324,35967,2754382,19873,928,17887,4109,63,1,2833210
bfc_rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.bfc.sh,18,145,3671,24480,0,32,0,0,28328,447,2775983,56326,0,44,0,0,0,2832800
lighter_rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.lighter.sh,18,0,10278,18050,0,0,0,0,28328,0,1388003,28397,0,0,0,0,0,1416400
musket_rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.musket.sh,18,14723,9576,1821,139,2069,0,0,28328,24555,1384018,3618,224,3985,0,0,0,1416400
bless_rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.bless.sh,18,17472,4943,4853,18,931,111,5262,28328,41981,2592698,7038,116,4166,1085,178386,7638,2833108
racer_rep.seq_sim_rl_50_cov_2_1_405000.corrected.fastq.gz,run.racer.sh,18,10916,10189,4726,22,2319,156,59,28328,20507,1379491,7713,172,7923,932,263,5,1417006
reckoner_rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.reckoner.sh,18,9815,10199,7227,117,881,89,34,28328,16355,1384572,11823,216,3141,466,133,3,1416709
sga_rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.sga.sh,18,5933,10255,11230,19,879,12,4,28328,11580,1386251,16749,68,1731,39,9,0,1416427
coral_rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.coral.sh,18,12783,3603,11311,3,348,280,19,28328,29527,2775417,27232,10,568,294,18,4,2833070
fiona_rep.seq_sim_rl_100_cov_4_1_405000.corrected.fastq.gz,run.fiona.sh,18,7869,3662,13734,894,2068,101,56,28328,35093,2772598,20531,1147,3309,145,58,2,2832883
lighter_rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.lighter.sh,18,0,3671,24657,0,0,0,0,28328,0,2776027,56773,0,0,0,0,0,2832800
musket_rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.musket.sh,18,19074,3511,3619,269,1855,0,0,28328,51233,2771919,5141,399,4108,0,0,0,2832800
racer_rep.seq_sim_rl_100_cov_4_1_405000.corrected.fastq.gz,run.racer.sh,18,9737,3644,10352,34,4175,386,95,28328,36569,2753432,19743,454,20477,3729,562,7,2834973
reckoner_rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.reckoner.sh,18,6501,3658,16192,135,1725,117,40,28328,21627,2768160,34846,297,7195,1138,225,3,2833491
sga_rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.sga.sh,18,2246,3665,21183,51,1176,7,3,28328,12605,2773889,44051,117,2126,18,7,0,2832813
fiona_TRA.rep.seq_sim_rl_100_cov_16_1_405000.corrected.fastq.gz,run.fiona.sh,18,6487,3965,15779,2207,480,97,37,29015,31359,2842458,23976,2590,995,162,41,2,2901583
